trade_id,pair,session_id,direction,bars_since_entry,z_score,spread,sigma_rolling
2,ZC_ZW,20230823,SHORT,103,2.547957,0.00342504,0.00119600
2,ZC_ZW,20230823,SHORT,104,2.218145,0.00301596,0.00118940
2,ZC_ZW,20230823,SHORT,105,2.535132,0.00328961,0.00114863
2,ZC_ZW,20230823,SHORT,106,3.506828,0.00406152,0.00105047
2,ZC_ZW,20230823,SHORT,107,4.284470,0.00423899,0.00090123
2,ZC_ZW,20230823,SHORT,108,3.922637,0.00342300,0.00077634
2,ZC_ZW,20230823,SHORT,109,2.540817,0.00242596,0.00080615
2,ZC_ZW,20230823,SHORT,110,1.628817,0.00188442,0.00092504
2,ZC_ZW,20230823,SHORT,111,2.252359,0.00251781,0.00095017
2,ZC_ZW,20230823,SHORT,112,3.924647,0.00401047,0.00092563
2,ZC_ZW,20230823,SHORT,113,4.356720,0.00446304,0.00093771
2,ZC_ZW,20230823,SHORT,114,4.479196,0.00460065,0.00094279
2,ZC_ZW,20230823,SHORT,115,4.406871,0.00446593,0.00092770
2,ZC_ZW,20230823,SHORT,116,4.911109,0.00514241,0.00097019
2,ZC_ZW,20230823,SHORT,117,3.831712,0.00410155,0.00097185
2,ZC_ZW,20230823,SHORT,118,3.770325,0.00382964,0.00091556
2,ZC_ZW,20230823,SHORT,119,4.503377,0.00419121,0.00084681
2,ZC_ZW,20230823,SHORT,120,4.175967,0.00378429,0.00081576
2,ZC_ZW,20230823,SHORT,121,3.556442,0.00324232,0.00080548
2,ZC_ZW,20230823,SHORT,122,3.830862,0.00346809,0.00080671
2,ZC_ZW,20230823,SHORT,123,3.472479,0.00319758,0.00081207
2,ZC_ZW,20230823,SHORT,124,4.689049,0.00414579,0.00080360
2,ZC_ZW,20230823,SHORT,125,5.720609,0.00540807,0.00087934
2,ZC_ZW,20230823,SHORT,126,4.183512,0.00405613,0.00087927
2,ZC_ZW,20230823,SHORT,127,5.186464,0.00518258,0.00092643
2,ZC_ZW,20230823,SHORT,128,3.799993,0.00387468,0.00092026
2,ZC_ZW,20230823,SHORT,129,4.752903,0.00446159,0.00085924
2,ZC_ZW,20230823,SHORT,130,6.899460,0.00608972,0.00082789
2,ZC_ZW,20230823,SHORT,131,7.016498,0.00703501,0.00094881
2,ZC_ZW,20230823,SHORT,132,6.023145,0.00703501,0.00110529
2,ZC_ZW,20230823,SHORT,133,5.577810,0.00757318,0.00129002
2,ZC_ZW,20230823,SHORT,134,4.963941,0.00744060,0.00142284
2,ZC_ZW,20230823,SHORT,135,3.793594,0.00581723,0.00143387
3,ZC_ZW,20230823,SHORT,0,1.933633,0.00160545,0.00063495
3,ZC_ZW,20230823,SHORT,1,3.005858,0.00242647,0.00068160
3,ZC_ZW,20230823,SHORT,2,1.981065,0.00169723,0.00066608
3,ZC_ZW,20230823,SHORT,3,3.061077,0.00256532,0.00071466
3,ZC_ZW,20230823,SHORT,4,1.641091,0.00151467,0.00069282
3,ZC_ZW,20230823,SHORT,5,1.908227,0.00169723,0.00069150
3,ZC_ZW,20230823,SHORT,6,2.527471,0.00215438,0.00070295
3,ZC_ZW,20230823,SHORT,7,2.960188,0.00256532,0.00073902
3,ZC_ZW,20230823,SHORT,8,2.069724,0.00192577,0.00074796
3,ZC_ZW,20230823,SHORT,9,2.374175,0.00220072,0.00076786
3,ZC_ZW,20230823,SHORT,10,3.239063,0.00311644,0.00084554
3,ZC_ZW,20230823,SHORT,11,2.909147,0.00298126,0.00089496
3,ZC_ZW,20230823,SHORT,12,2.424041,0.00252284,0.00088495
3,ZC_ZW,20230823,SHORT,13,2.597132,0.00270517,0.00089617
3,ZC_ZW,20230823,SHORT,14,2.776593,0.00270517,0.00083825
3,ZC_ZW,20230823,SHORT,15,3.886284,0.00316345,0.00071682
3,ZC_ZW,20230823,SHORT,16,4.602642,0.00362202,0.00070488
3,ZC_ZW,20230823,SHORT,17,4.680207,0.00339270,0.00064420
3,ZC_ZW,20230823,SHORT,18,4.751132,0.00357472,0.00067290
3,ZC_ZW,20230823,SHORT,19,4.210865,0.00316345,0.00066156
3,ZC_ZW,20230823,SHORT,20,5.268649,0.00408086,0.00070287
3,ZC_ZW,20230823,SHORT,21,4.492166,0.00366942,0.00073277
3,ZC_ZW,20230823,SHORT,22,4.350250,0.00343997,0.00070393
3,ZC_ZW,20230823,SHORT,23,5.027038,0.00422428,0.00076518
3,ZC_ZW,20230823,SHORT,24,4.232844,0.00331334,0.00069354
3,ZC_ZW,20230823,SHORT,25,3.973932,0.00285293,0.00062287
3,ZC_ZW,20230823,SHORT,26,5.082199,0.00336123,0.00058706
3,ZC_ZW,20230823,SHORT,27,4.205364,0.00280543,0.00057730
3,ZC_ZW,20230823,SHORT,28,2.900258,0.00202198,0.00056694
3,ZC_ZW,20230823,SHORT,29,3.856644,0.00248111,0.00054540
3,ZC_ZW,20230823,SHORT,30,5.207098,0.00321789,0.00054545
3,ZC_ZW,20230823,SHORT,31,2.930790,0.00211578,0.00059304
3,ZC_ZW,20230823,SHORT,32,2.531421,0.00198001,0.00063297
3,ZC_ZW,20230823,SHORT,33,3.445797,0.00257548,0.00063782
3,ZC_ZW,20230823,SHORT,34,3.904210,0.00285293,0.00063399
3,ZC_ZW,20230823,SHORT,35,4.476868,0.00321789,0.00063442
3,ZC_ZW,20230823,SHORT,36,4.557516,0.00321789,0.00062319
3,ZC_ZW,20230823,SHORT,37,5.148728,0.00363017,0.00063171
3,ZC_ZW,20230823,SHORT,38,5.388413,0.00386020,0.00064630
3,ZC_ZW,20230823,SHORT,39,4.951331,0.00363017,0.00065689
3,ZC_ZW,20230823,SHORT,40,4.304492,0.00303546,0.00061744
3,ZC_ZW,20230823,SHORT,41,3.688329,0.00262283,0.00060871
3,ZC_ZW,20230823,SHORT,42,4.030564,0.00280543,0.00060233
3,ZC_ZW,20230823,SHORT,43,4.593863,0.00280543,0.00052847
3,ZC_ZW,20230823,SHORT,44,3.978823,0.00248111,0.00052865
3,ZC_ZW,20230823,SHORT,45,2.923942,0.00202198,0.00056235
3,ZC_ZW,20230823,SHORT,46,3.427442,0.00229849,0.00056042
3,ZC_ZW,20230823,SHORT,47,5.114023,0.00330517,0.00057244
3,ZC_ZW,20230823,SHORT,48,4.643474,0.00289322,0.00054173
3,ZC_ZW,20230823,SHORT,49,4.616588,0.00284604,0.00053467
3,ZC_ZW,20230823,SHORT,50,5.562512,0.00339270,0.00054202
3,ZC_ZW,20230823,SHORT,51,5.252897,0.00306954,0.00051245
3,ZC_ZW,20230823,SHORT,52,6.961872,0.00389123,0.00050468
3,ZC_ZW,20230823,SHORT,53,6.409667,0.00366234,0.00051245
3,ZC_ZW,20230823,SHORT,54,6.910115,0.00462600,0.00061480
3,ZC_ZW,20230823,SHORT,55,5.965205,0.00439675,0.00067375
3,ZC_ZW,20230823,SHORT,56,5.746578,0.00467377,0.00074759
3,ZC_ZW,20230823,SHORT,57,5.490832,0.00494121,0.00083112
3,ZC_ZW,20230823,SHORT,58,5.344539,0.00544735,0.00094857
3,ZC_ZW,20230823,SHORT,59,4.279510,0.00457834,0.00098157
3,ZC_ZW,20230823,SHORT,60,3.841252,0.00416757,0.00098663
3,ZC_ZW,20230823,SHORT,61,4.956722,0.00567667,0.00106905
3,ZC_ZW,20230823,SHORT,62,3.481117,0.00403328,0.00105012
3,ZC_ZW,20230823,SHORT,63,3.797526,0.00429475,0.00103148
3,ZC_ZW,20230823,SHORT,64,4.949078,0.00557049,0.00104924
3,ZC_ZW,20230823,SHORT,65,5.475020,0.00607538,0.00104067
3,ZC_ZW,20230823,SHORT,66,4.409182,0.00453079,0.00094192
3,ZC_ZW,20230823,SHORT,67,4.598495,0.00457834,0.00091348
3,ZC_ZW,20230823,SHORT,68,6.053231,0.00582177,0.00089937
3,ZC_ZW,20230823,SHORT,69,6.687209,0.00646252,0.00090992
3,ZC_ZW,20230823,SHORT,70,6.447420,0.00636505,0.00092864
3,ZC_ZW,20230823,SHORT,71,6.777362,0.00644888,0.00089580
3,ZC_ZW,20230823,SHORT,72,6.764067,0.00662962,0.00092429
3,ZC_ZW,20230823,SHORT,73,6.643966,0.00626803,0.00088657
3,ZC_ZW,20230823,SHORT,74,5.598263,0.00526608,0.00087320
3,ZC_ZW,20230823,SHORT,75,4.202884,0.00412020,0.00089046
3,ZC_ZW,20230823,SHORT,76,2.479061,0.00292952,0.00102935
3,ZC_ZW,20230823,SHORT,77,4.227485,0.00474463,0.00103299
3,ZC_ZW,20230823,SHORT,78,2.961472,0.00360646,0.00109026
3,ZC_ZW,20230823,SHORT,79,3.749278,0.00447607,0.00109311
3,ZC_ZW,20230823,SHORT,80,4.110685,0.00479147,0.00107373
3,ZC_ZW,20230823,SHORT,81,3.616184,0.00428916,0.00108165
3,ZC_ZW,20230823,SHORT,82,3.113423,0.00378779,0.00109529
3,ZC_ZW,20230823,SHORT,83,4.497725,0.00524045,0.00108116
3,ZC_ZW,20230823,SHORT,84,4.601992,0.00533419,0.00107703
3,ZC_ZW,20230823,SHORT,85,4.097335,0.00469790,0.00105440
3,ZC_ZW,20230823,SHORT,86,2.261733,0.00297012,0.00114622
3,ZC_ZW,20230823,SHORT,87,2.907851,0.00378779,0.00117272
3,ZC_ZW,20230823,SHORT,88,2.547957,0.00342504,0.00119600
3,ZC_ZW,20230823,SHORT,89,2.218145,0.00301596,0.00118940
3,ZC_ZW,20230823,SHORT,90,2.535132,0.00328961,0.00114863
3,ZC_ZW,20230823,SHORT,91,3.506828,0.00406152,0.00105047
3,ZC_ZW,20230823,SHORT,92,4.284470,0.00423899,0.00090123
3,ZC_ZW,20230823,SHORT,93,3.922637,0.00342300,0.00077634
3,ZC_ZW,20230823,SHORT,94,2.540817,0.00242596,0.00080615
3,ZC_ZW,20230823,SHORT,95,1.628817,0.00188442,0.00092504
3,ZC_ZW,20230823,SHORT,96,2.252359,0.00251781,0.00095017
3,ZC_ZW,20230823,SHORT,97,3.924647,0.00401047,0.00092563
3,ZC_ZW,20230823,SHORT,98,4.356720,0.00446304,0.00093771
3,ZC_ZW,20230823,SHORT,99,4.479196,0.00460065,0.00094279
3,ZC_ZW,20230823,SHORT,100,4.406871,0.00446593,0.00092770
3,ZC_ZW,20230823,SHORT,101,4.911109,0.00514241,0.00097019
3,ZC_ZW,20230823,SHORT,102,3.831712,0.00410155,0.00097185
3,ZC_ZW,20230823,SHORT,103,3.770325,0.00382964,0.00091556
3,ZC_ZW,20230823,SHORT,104,4.503377,0.00419121,0.00084681
3,ZC_ZW,20230823,SHORT,105,4.175967,0.00378429,0.00081576
3,ZC_ZW,20230823,SHORT,106,3.556442,0.00324232,0.00080548
3,ZC_ZW,20230823,SHORT,107,3.830862,0.00346809,0.00080671
3,ZC_ZW,20230823,SHORT,108,3.472479,0.00319758,0.00081207
3,ZC_ZW,20230823,SHORT,109,4.689049,0.00414579,0.00080360
3,ZC_ZW,20230823,SHORT,110,5.720609,0.00540807,0.00087934
